locus_tag	ftype	gene	EC_number	product
IAGPMOIH_00001	CDS			hypothetical protein
IAGPMOIH_00001	gene			
IAGPMOIH_00002	CDS			hypothetical protein
IAGPMOIH_00002	gene			
IAGPMOIH_00003	CDS			hypothetical protein
IAGPMOIH_00003	gene			
IAGPMOIH_00004	CDS			hypothetical protein
IAGPMOIH_00004	gene			
IAGPMOIH_00005	CDS			hypothetical protein
IAGPMOIH_00005	gene			
IAGPMOIH_00006	CDS			hypothetical protein
IAGPMOIH_00006	gene			
IAGPMOIH_00007	CDS			hypothetical protein
IAGPMOIH_00007	gene			
IAGPMOIH_00008	CDS			hypothetical protein
IAGPMOIH_00008	gene			
IAGPMOIH_00009	CDS			hypothetical protein
IAGPMOIH_00009	gene			
IAGPMOIH_00010	CDS			hypothetical protein
IAGPMOIH_00010	gene			
IAGPMOIH_00011	CDS			hypothetical protein
IAGPMOIH_00011	gene			
IAGPMOIH_00012	CDS			hypothetical protein
IAGPMOIH_00012	gene			
IAGPMOIH_00013	CDS			hypothetical protein
IAGPMOIH_00013	gene			
IAGPMOIH_00014	CDS	nhaS3_1		High-affinity Na(+)/H(+) antiporter NhaS3
IAGPMOIH_00014	gene	nhaS3_1		
IAGPMOIH_00015	CDS			hypothetical protein
IAGPMOIH_00015	gene			
IAGPMOIH_00016	CDS			hypothetical protein
IAGPMOIH_00016	gene			
IAGPMOIH_00017	CDS			hypothetical protein
IAGPMOIH_00017	gene			
IAGPMOIH_00018	CDS			hypothetical protein
IAGPMOIH_00018	gene			
IAGPMOIH_00019	CDS			hypothetical protein
IAGPMOIH_00019	gene			
IAGPMOIH_00020	CDS			hypothetical protein
IAGPMOIH_00020	gene			
IAGPMOIH_00021	CDS	dpp5_1	3.4.14.-	Dipeptidyl-peptidase 5
IAGPMOIH_00021	gene	dpp5_1		
IAGPMOIH_00022	CDS	rhlE_1	3.6.4.13	ATP-dependent RNA helicase RhlE
IAGPMOIH_00022	gene	rhlE_1		
IAGPMOIH_00023	tRNA			tRNA-Gly(gcc)
IAGPMOIH_00023	gene			
IAGPMOIH_00024	CDS			hypothetical protein
IAGPMOIH_00024	gene			
IAGPMOIH_00025	CDS	metB	2.5.1.48	Cystathionine gamma-synthase
IAGPMOIH_00025	gene	metB		
IAGPMOIH_00026	CDS			hypothetical protein
IAGPMOIH_00026	gene			
IAGPMOIH_00027	CDS			hypothetical protein
IAGPMOIH_00027	gene			
IAGPMOIH_00028	CDS			hypothetical protein
IAGPMOIH_00028	gene			
IAGPMOIH_00029	CDS	kdgA_1		KHG/KDPG aldolase
IAGPMOIH_00029	gene	kdgA_1		
IAGPMOIH_00030	CDS			hypothetical protein
IAGPMOIH_00030	gene			
IAGPMOIH_00031	CDS	efeU_1		Ferrous iron permease EfeU
IAGPMOIH_00031	gene	efeU_1		
IAGPMOIH_00032	CDS	sdhA_1	1.3.5.1	Succinate dehydrogenase flavoprotein subunit
IAGPMOIH_00032	gene	sdhA_1		
IAGPMOIH_00033	CDS			hypothetical protein
IAGPMOIH_00033	gene			
IAGPMOIH_00034	CDS			hypothetical protein
IAGPMOIH_00034	gene			
IAGPMOIH_00035	CDS			hypothetical protein
IAGPMOIH_00035	gene			
IAGPMOIH_00036	CDS			hypothetical protein
IAGPMOIH_00036	gene			
IAGPMOIH_00037	CDS		3.5.3.18	N(G),N(G)-dimethylarginine dimethylaminohydrolase
IAGPMOIH_00037	gene			
IAGPMOIH_00038	CDS			hypothetical protein
IAGPMOIH_00038	gene			
IAGPMOIH_00039	CDS	ybaK_1	4.2.-.-	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
IAGPMOIH_00039	gene	ybaK_1		
IAGPMOIH_00040	CDS	hemB_1	4.2.1.24	Delta-aminolevulinic acid dehydratase
IAGPMOIH_00040	gene	hemB_1		
IAGPMOIH_00041	CDS	hisI_1	3.5.4.19	Phosphoribosyl-AMP cyclohydrolase
IAGPMOIH_00041	gene	hisI_1		
IAGPMOIH_00042	CDS	ribA_1	3.5.4.25	GTP cyclohydrolase-2
IAGPMOIH_00042	gene	ribA_1		
IAGPMOIH_00043	CDS			hypothetical protein
IAGPMOIH_00043	gene			
IAGPMOIH_00044	CDS			hypothetical protein
IAGPMOIH_00044	gene			
IAGPMOIH_00045	CDS			hypothetical protein
IAGPMOIH_00045	gene			
IAGPMOIH_00046	CDS			hypothetical protein
IAGPMOIH_00046	gene			
IAGPMOIH_00047	CDS			hypothetical protein
IAGPMOIH_00047	gene			
IAGPMOIH_00048	CDS			hypothetical protein
IAGPMOIH_00048	gene			
IAGPMOIH_00049	CDS			hypothetical protein
IAGPMOIH_00049	gene			
IAGPMOIH_00050	CDS			hypothetical protein
IAGPMOIH_00050	gene			
IAGPMOIH_00051	CDS			hypothetical protein
IAGPMOIH_00051	gene			
IAGPMOIH_00052	CDS			hypothetical protein
IAGPMOIH_00052	gene			
IAGPMOIH_00053	CDS			hypothetical protein
IAGPMOIH_00053	gene			
IAGPMOIH_00054	CDS	queE_1	4.3.99.3	7-carboxy-7-deazaguanine synthase
IAGPMOIH_00054	gene	queE_1		
IAGPMOIH_00055	CDS			hypothetical protein
IAGPMOIH_00055	gene			
IAGPMOIH_00056	CDS	pntAA_1	1.6.1.2	NAD(P) transhydrogenase subunit alpha part 1
