locus_tag	ftype	gene	EC_number	product
ALJPEIHI_00001	CDS	xecD	1.1.1.268	2-(R)-hydroxypropyl-CoM dehydrogenase
ALJPEIHI_00001	gene	xecD		
ALJPEIHI_00002	CDS			hypothetical protein
ALJPEIHI_00002	gene			
ALJPEIHI_00003	CDS		2.3.1.-	Putative acetyltransferase
ALJPEIHI_00003	gene			
ALJPEIHI_00004	CDS			hypothetical protein
ALJPEIHI_00004	gene			
ALJPEIHI_00005	CDS	pigC_1	6.4.-.-	Prodigiosin synthesizing transferase PigC
ALJPEIHI_00005	gene	pigC_1		
ALJPEIHI_00006	CDS	fgd_1	1.1.98.2	F420-dependent glucose-6-phosphate dehydrogenase
ALJPEIHI_00006	gene	fgd_1		
ALJPEIHI_00007	CDS	sucB	2.3.1.61	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
ALJPEIHI_00007	gene	sucB		
ALJPEIHI_00008	CDS			hypothetical protein
ALJPEIHI_00008	gene			
ALJPEIHI_00009	CDS	groS3		10 kDa chaperonin 3
ALJPEIHI_00009	gene	groS3		
ALJPEIHI_00010	CDS	hisF	4.1.3.-	Imidazole glycerol phosphate synthase subunit HisF
ALJPEIHI_00010	gene	hisF		
ALJPEIHI_00011	CDS	hisA	5.3.1.16	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
ALJPEIHI_00011	gene	hisA		
ALJPEIHI_00012	CDS	hisH	2.4.2.-	Imidazole glycerol phosphate synthase subunit HisH
ALJPEIHI_00012	gene	hisH		
ALJPEIHI_00013	CDS	hisB		Histidine biosynthesis bifunctional protein HisB
ALJPEIHI_00013	gene	hisB		
ALJPEIHI_00014	CDS	hisC	2.6.1.9	Histidinol-phosphate aminotransferase
ALJPEIHI_00014	gene	hisC		
ALJPEIHI_00015	CDS	sucC	6.2.1.4	Succinate--CoA ligase [GDP-forming] subunit beta
ALJPEIHI_00015	gene	sucC		
ALJPEIHI_00016	CDS	sucD	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit alpha
ALJPEIHI_00016	gene	sucD		
ALJPEIHI_00017	CDS	purN	2.1.2.2	Phosphoribosylglycinamide formyltransferase
ALJPEIHI_00017	gene	purN		
ALJPEIHI_00018	CDS	purH		Bifunctional purine biosynthesis protein PurH
ALJPEIHI_00018	gene	purH		
ALJPEIHI_00019	CDS			hypothetical protein
ALJPEIHI_00019	gene			
ALJPEIHI_00020	CDS			hypothetical protein
ALJPEIHI_00020	gene			
ALJPEIHI_00021	CDS			hypothetical protein
ALJPEIHI_00021	gene			
ALJPEIHI_00022	CDS	cypB_1	5.2.1.8	Peptidyl-prolyl cis-trans isomerase B
ALJPEIHI_00022	gene	cypB_1		
ALJPEIHI_00023	CDS			hypothetical protein
ALJPEIHI_00023	gene			
ALJPEIHI_00024	CDS			hypothetical protein
ALJPEIHI_00024	gene			
ALJPEIHI_00025	CDS			hypothetical protein
ALJPEIHI_00025	gene			
ALJPEIHI_00026	CDS	echA8_1	4.2.1.17	putative enoyl-CoA hydratase echA8
ALJPEIHI_00026	gene	echA8_1		
ALJPEIHI_00027	CDS	baiB	6.-.-.-	Bile acid-coenzyme A ligase
ALJPEIHI_00027	gene	baiB		
ALJPEIHI_00028	CDS			hypothetical protein
ALJPEIHI_00028	gene			
ALJPEIHI_00029	tRNA			tRNA-Ser(tga)
ALJPEIHI_00029	gene			
ALJPEIHI_00030	tRNA			tRNA-Ser(gct)
ALJPEIHI_00030	gene			
ALJPEIHI_00031	tRNA			tRNA-Arg(acg)
ALJPEIHI_00031	gene			
ALJPEIHI_00032	CDS			hypothetical protein
ALJPEIHI_00032	gene			
ALJPEIHI_00033	CDS	purE_1	5.4.99.18	N5-carboxyaminoimidazole ribonucleotide mutase
ALJPEIHI_00033	gene	purE_1		
ALJPEIHI_00034	CDS	nadE_1	6.3.5.1	NH(3)-dependent NAD(+) synthetase
ALJPEIHI_00034	gene	nadE_1		
ALJPEIHI_00035	CDS			hypothetical protein
ALJPEIHI_00035	gene			
