locus_tag	ftype	gene	EC_number	product
ELICBCKE_00001	CDS			hypothetical protein
ELICBCKE_00001	gene			
ELICBCKE_00002	CDS			hypothetical protein
ELICBCKE_00002	gene			
ELICBCKE_00003	CDS	csp		Cold shock protein 1
ELICBCKE_00003	gene	csp		
ELICBCKE_00004	CDS	htpX	3.4.24.-	Protease HtpX
ELICBCKE_00004	gene	htpX		
ELICBCKE_00005	CDS	estB	3.1.1.1	Carboxylesterase 2
ELICBCKE_00005	gene	estB		
ELICBCKE_00006	CDS			hypothetical protein
ELICBCKE_00006	gene			
ELICBCKE_00007	CDS			hypothetical protein
ELICBCKE_00007	gene			
ELICBCKE_00008	CDS	baeB	3.-.-.-	putative polyketide biosynthesis zinc-dependent hydrolase BaeB
ELICBCKE_00008	gene	baeB		
ELICBCKE_00009	CDS	mip	5.2.1.8	Outer membrane protein MIP
ELICBCKE_00009	gene	mip		
ELICBCKE_00010	tRNA			tRNA-Arg(tct)
ELICBCKE_00010	gene			
ELICBCKE_00011	CDS			hypothetical protein
ELICBCKE_00011	gene			
ELICBCKE_00012	CDS			hypothetical protein
ELICBCKE_00012	gene			
ELICBCKE_00013	CDS			hypothetical protein
ELICBCKE_00013	gene			
ELICBCKE_00014	CDS	puf2C		Cytochrome c-554
ELICBCKE_00014	gene	puf2C		
ELICBCKE_00015	CDS			hypothetical protein
ELICBCKE_00015	gene			
ELICBCKE_00016	CDS	bamA_1		Outer membrane protein assembly factor BamA
ELICBCKE_00016	gene	bamA_1		
ELICBCKE_00017	CDS	plsY	2.3.1.-	Glycerol-3-phosphate acyltransferase
ELICBCKE_00017	gene	plsY		
ELICBCKE_00018	CDS			DegV domain-containing protein
ELICBCKE_00018	gene			
ELICBCKE_00019	CDS			hypothetical protein
ELICBCKE_00019	gene			
ELICBCKE_00020	CDS	ogt	2.1.1.63	Methylated-DNA--protein-cysteine methyltransferase
ELICBCKE_00020	gene	ogt		
ELICBCKE_00021	CDS			S-adenosylmethionine/S-adenosylhomocysteine transporter
ELICBCKE_00021	gene			
ELICBCKE_00022	CDS			hypothetical protein
ELICBCKE_00022	gene			
ELICBCKE_00023	CDS			hypothetical protein
ELICBCKE_00023	gene			
ELICBCKE_00024	CDS	kbl	2.3.1.29	2-amino-3-ketobutyrate coenzyme A ligase
ELICBCKE_00024	gene	kbl		
ELICBCKE_00025	CDS	tdh	1.1.1.103	L-threonine 3-dehydrogenase
ELICBCKE_00025	gene	tdh		
ELICBCKE_00026	CDS	soj	3.6.-.-	Sporulation initiation inhibitor protein Soj
ELICBCKE_00026	gene	soj		
ELICBCKE_00027	CDS	parB		putative chromosome-partitioning protein ParB
ELICBCKE_00027	gene	parB		
ELICBCKE_00028	CDS	mepM_1	3.4.24.-	Murein DD-endopeptidase MepM
ELICBCKE_00028	gene	mepM_1		
ELICBCKE_00029	CDS			hypothetical protein
ELICBCKE_00029	gene			
ELICBCKE_00030	CDS			hypothetical protein
ELICBCKE_00030	gene			
ELICBCKE_00031	CDS			hypothetical protein
ELICBCKE_00031	gene			
ELICBCKE_00032	CDS	atpB		ATP synthase subunit a
ELICBCKE_00032	gene	atpB		
ELICBCKE_00033	CDS	atpE		ATP synthase subunit c
ELICBCKE_00033	gene	atpE		
ELICBCKE_00034	CDS	atpF		ATP synthase subunit b
ELICBCKE_00034	gene	atpF		
ELICBCKE_00035	CDS	atpH		ATP synthase subunit delta, sodium ion specific
ELICBCKE_00035	gene	atpH		
ELICBCKE_00036	CDS	atpA	3.6.3.14	ATP synthase subunit alpha
ELICBCKE_00036	gene	atpA		
ELICBCKE_00037	CDS	atpG		ATP synthase gamma chain
ELICBCKE_00037	gene	atpG		
ELICBCKE_00038	CDS	atpD	3.6.3.14	ATP synthase subunit beta
ELICBCKE_00038	gene	atpD		
ELICBCKE_00039	CDS	atpC		ATP synthase epsilon chain
ELICBCKE_00039	gene	atpC		
ELICBCKE_00040	CDS	aspS	6.1.1.12	Aspartate--tRNA ligase
ELICBCKE_00040	gene	aspS		
ELICBCKE_00041	CDS	baiA2	1.1.1.395	Bile acid 7-dehydroxylase 2
ELICBCKE_00041	gene	baiA2		
ELICBCKE_00042	CDS	pcm	2.1.1.77	Protein-L-isoaspartate O-methyltransferase
ELICBCKE_00042	gene	pcm		
ELICBCKE_00043	CDS			hypothetical protein
ELICBCKE_00043	gene			
ELICBCKE_00044	CDS			hypothetical protein
ELICBCKE_00044	gene			
ELICBCKE_00045	CDS	mqnB	3.2.2.26	Futalosine hydrolase
ELICBCKE_00045	gene	mqnB		
ELICBCKE_00046	CDS	splB	4.1.99.14	Spore photoproduct lyase
ELICBCKE_00046	gene	splB		
ELICBCKE_00047	CDS	guaB_1	1.1.1.205	Inosine-5'-monophosphate dehydrogenase
ELICBCKE_00047	gene	guaB_1		
ELICBCKE_00048	CDS	ytfJ		putative spore protein YtfJ
ELICBCKE_00048	gene	ytfJ		
ELICBCKE_00049	CDS			hypothetical protein
ELICBCKE_00049	gene			
ELICBCKE_00050	CDS			hypothetical protein
ELICBCKE_00050	gene			
ELICBCKE_00051	CDS			PhoH-like protein
ELICBCKE_00051	gene			
ELICBCKE_00052	CDS	phaA	2.3.1.9	Acetyl-CoA acetyltransferase
ELICBCKE_00052	gene	phaA		
ELICBCKE_00053	CDS	acdA_1	1.3.99.-	Acyl-CoA dehydrogenase
ELICBCKE_00053	gene	acdA_1		
ELICBCKE_00054	CDS	ilvE_1	2.6.1.42	Branched-chain-amino-acid aminotransferase
ELICBCKE_00054	gene	ilvE_1		
ELICBCKE_00055	CDS	ldh	1.4.1.9	Leucine dehydrogenase
ELICBCKE_00055	gene	ldh		
ELICBCKE_00056	CDS	nusB		N utilization substance protein B 
ELICBCKE_00056	gene	nusB		
ELICBCKE_00057	CDS	secA		Protein translocase subunit SecA
ELICBCKE_00057	gene	secA		
ELICBCKE_00058	CDS	mccB	4.4.1.1	Cystathionine gamma-lyase
ELICBCKE_00058	gene	mccB		
ELICBCKE_00059	CDS			hypothetical protein
ELICBCKE_00059	gene			
ELICBCKE_00060	tRNA			tRNA-Leu(tag)
ELICBCKE_00060	gene			
ELICBCKE_00061	CDS			hypothetical protein
ELICBCKE_00061	gene			
