locus_tag	ftype	gene	EC_number	product
HNIILFLH_00001	CDS			hypothetical protein
HNIILFLH_00001	gene			
HNIILFLH_00002	CDS			hypothetical protein
HNIILFLH_00002	gene			
HNIILFLH_00003	CDS			hypothetical protein
HNIILFLH_00003	gene			
HNIILFLH_00004	CDS			hypothetical protein
HNIILFLH_00004	gene			
HNIILFLH_00005	CDS	wtpC	3.6.3.-	Molybdate/tungstate import ATP-binding protein WtpC
HNIILFLH_00005	gene	wtpC		
HNIILFLH_00006	CDS			hypothetical protein
HNIILFLH_00006	gene			
HNIILFLH_00007	CDS			hypothetical protein
HNIILFLH_00007	gene			
HNIILFLH_00008	CDS			hypothetical protein
HNIILFLH_00008	gene			
HNIILFLH_00009	CDS			hypothetical protein
HNIILFLH_00009	gene			
HNIILFLH_00010	CDS			hypothetical protein
HNIILFLH_00010	gene			
HNIILFLH_00011	CDS	pycA_1	6.4.1.1	Pyruvate carboxylase subunit A
HNIILFLH_00011	gene	pycA_1		
HNIILFLH_00012	CDS			hypothetical protein
HNIILFLH_00012	gene			
HNIILFLH_00013	CDS			hypothetical protein
HNIILFLH_00013	gene			
HNIILFLH_00014	CDS			hypothetical protein
HNIILFLH_00014	gene			
HNIILFLH_00015	CDS			hypothetical protein
HNIILFLH_00015	gene			
HNIILFLH_00016	CDS			hypothetical protein
HNIILFLH_00016	gene			
HNIILFLH_00017	CDS			hypothetical protein
HNIILFLH_00017	gene			
HNIILFLH_00018	CDS			putative KH and PIN-domain containing protein
HNIILFLH_00018	gene			
HNIILFLH_00019	CDS			hypothetical protein
HNIILFLH_00019	gene			
HNIILFLH_00020	CDS	hpt	2.4.2.8	Hypoxanthine/guanine phosphoribosyltransferase
HNIILFLH_00020	gene	hpt		
HNIILFLH_00021	CDS			50S ribosomal protein L10e
HNIILFLH_00021	gene			
HNIILFLH_00022	CDS			hypothetical protein
HNIILFLH_00022	gene			
HNIILFLH_00023	CDS			hypothetical protein
HNIILFLH_00023	gene			
HNIILFLH_00024	CDS			hypothetical protein
HNIILFLH_00024	gene			
HNIILFLH_00025	CDS			hypothetical protein
HNIILFLH_00025	gene			
HNIILFLH_00026	CDS			hypothetical protein
HNIILFLH_00026	gene			
HNIILFLH_00027	CDS		2.6.1.57	Aromatic-amino-acid aminotransferase 2
HNIILFLH_00027	gene			
HNIILFLH_00028	CDS			hypothetical protein
HNIILFLH_00028	gene			
HNIILFLH_00029	CDS			hypothetical protein
HNIILFLH_00029	gene			
HNIILFLH_00030	CDS			hypothetical protein
HNIILFLH_00030	gene			
HNIILFLH_00031	CDS			hypothetical protein
HNIILFLH_00031	gene			
HNIILFLH_00032	CDS	sufS	2.8.1.7	Cysteine desulfurase
HNIILFLH_00032	gene	sufS		
HNIILFLH_00033	CDS	sufE		Cysteine desulfuration protein SufE
HNIILFLH_00033	gene	sufE		
HNIILFLH_00034	CDS			hypothetical protein
HNIILFLH_00034	gene			
HNIILFLH_00035	CDS			hypothetical protein
HNIILFLH_00035	gene			
HNIILFLH_00036	CDS	folD		Bifunctional protein FolD protein
HNIILFLH_00036	gene	folD		
HNIILFLH_00037	CDS			hypothetical protein
HNIILFLH_00037	gene			
HNIILFLH_00038	CDS	purM	6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase
HNIILFLH_00038	gene	purM		
HNIILFLH_00039	CDS			hypothetical protein
HNIILFLH_00039	gene			
HNIILFLH_00040	CDS			hypothetical protein
HNIILFLH_00040	gene			
HNIILFLH_00041	CDS			hypothetical protein
HNIILFLH_00041	gene			
HNIILFLH_00042	CDS			hypothetical protein
HNIILFLH_00042	gene			
HNIILFLH_00043	CDS			hypothetical protein
HNIILFLH_00043	gene			
HNIILFLH_00044	CDS			hypothetical protein
HNIILFLH_00044	gene			
HNIILFLH_00045	CDS	truD	5.4.99.27	putative tRNA pseudouridine synthase D
HNIILFLH_00045	gene	truD		
HNIILFLH_00046	CDS	fcl	1.1.1.271	GDP-L-fucose synthase
HNIILFLH_00046	gene	fcl		
HNIILFLH_00047	CDS			hypothetical protein
HNIILFLH_00047	gene			
HNIILFLH_00048	CDS			hypothetical protein
HNIILFLH_00048	gene			
HNIILFLH_00049	CDS			hypothetical protein
HNIILFLH_00049	gene			
HNIILFLH_00050	CDS	resA		Thiol-disulfide oxidoreductase ResA
HNIILFLH_00050	gene	resA		
HNIILFLH_00051	tRNA			tRNA-Ser(tga)
HNIILFLH_00051	gene			
HNIILFLH_00052	CDS			hypothetical protein
HNIILFLH_00052	gene			
HNIILFLH_00053	CDS			hypothetical protein
HNIILFLH_00053	gene			
HNIILFLH_00054	CDS			hypothetical protein
HNIILFLH_00054	gene			
HNIILFLH_00055	CDS			hypothetical protein
HNIILFLH_00055	gene			
HNIILFLH_00056	CDS			hypothetical protein
HNIILFLH_00056	gene			
