locus_tag	ftype	gene	EC_number	product
LGDJACJA_00001	CDS			hypothetical protein
LGDJACJA_00001	gene			
LGDJACJA_00002	tRNA			tRNA-Asn(gtt)
LGDJACJA_00002	gene			
LGDJACJA_00003	CDS			hypothetical protein
LGDJACJA_00003	gene			
LGDJACJA_00004	CDS		2.7.8.-	Cardiolipin synthase
LGDJACJA_00004	gene			
LGDJACJA_00005	CDS	bcpA	2.7.8.23	Carboxyvinyl-carboxyphosphonate phosphorylmutase
LGDJACJA_00005	gene	bcpA		
LGDJACJA_00006	CDS			hypothetical protein
LGDJACJA_00006	gene			
LGDJACJA_00007	CDS	pdaC	3.5.1.-	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC
LGDJACJA_00007	gene	pdaC		
LGDJACJA_00008	CDS			hypothetical protein
LGDJACJA_00008	gene			
LGDJACJA_00009	CDS	trpA	4.2.1.20	Tryptophan synthase alpha chain
LGDJACJA_00009	gene	trpA		
LGDJACJA_00010	CDS	trpB_1	4.2.1.20	Tryptophan synthase beta chain
LGDJACJA_00010	gene	trpB_1		
LGDJACJA_00011	CDS			hypothetical protein
LGDJACJA_00011	gene			
LGDJACJA_00012	CDS			hypothetical protein
LGDJACJA_00012	gene			
LGDJACJA_00013	CDS			hypothetical protein
LGDJACJA_00013	gene			
LGDJACJA_00014	CDS			hypothetical protein
LGDJACJA_00014	gene			
LGDJACJA_00015	CDS			hypothetical protein
LGDJACJA_00015	gene			
LGDJACJA_00016	CDS			hypothetical protein
LGDJACJA_00016	gene			
LGDJACJA_00017	CDS			hypothetical protein
LGDJACJA_00017	gene			
LGDJACJA_00018	CDS	valS	6.1.1.9	Valine--tRNA ligase
LGDJACJA_00018	gene	valS		
LGDJACJA_00019	CDS	clpX		ATP-dependent Clp protease ATP-binding subunit ClpX
LGDJACJA_00019	gene	clpX		
LGDJACJA_00020	CDS	tig	5.2.1.8	Trigger factor
LGDJACJA_00020	gene	tig		
LGDJACJA_00021	tRNA			tRNA-Leu(tag)
LGDJACJA_00021	gene			
LGDJACJA_00022	tRNA			tRNA-His(gtg)
LGDJACJA_00022	gene			
LGDJACJA_00023	CDS	devR		Transcriptional regulatory protein DevR (DosR)
LGDJACJA_00023	gene	devR		
LGDJACJA_00024	CDS	liaS	2.7.13.3	Sensor histidine kinase LiaS
LGDJACJA_00024	gene	liaS		
LGDJACJA_00025	CDS			hypothetical protein
LGDJACJA_00025	gene			
LGDJACJA_00026	CDS	htpX_1	3.4.24.-	Protease HtpX 
LGDJACJA_00026	gene	htpX_1		
LGDJACJA_00027	CDS			hypothetical protein
LGDJACJA_00027	gene			
LGDJACJA_00028	CDS			hypothetical protein
LGDJACJA_00028	gene			
LGDJACJA_00029	CDS	suhB	3.1.3.25	Inositol-1-monophosphatase
LGDJACJA_00029	gene	suhB		
LGDJACJA_00030	CDS			hypothetical protein
LGDJACJA_00030	gene			
LGDJACJA_00031	CDS			hypothetical protein
LGDJACJA_00031	gene			
LGDJACJA_00032	CDS		1.1.1.38	NAD-dependent malic enzyme
LGDJACJA_00032	gene			
LGDJACJA_00033	tRNA			tRNA-Leu(caa)
LGDJACJA_00033	gene			
LGDJACJA_00034	CDS			hypothetical protein
LGDJACJA_00034	gene			
LGDJACJA_00035	CDS	ctpA	3.6.3.-	Cation-transporting P-type ATPase A
LGDJACJA_00035	gene	ctpA		
LGDJACJA_00036	CDS	copA	3.6.3.54	Copper-exporting P-type ATPase A
LGDJACJA_00036	gene	copA		
LGDJACJA_00037	CDS	copZ		Copper chaperone CopZ
LGDJACJA_00037	gene	copZ		
LGDJACJA_00038	CDS	rsbV		Anti-sigma-B factor antagonist
LGDJACJA_00038	gene	rsbV		
LGDJACJA_00039	CDS			hypothetical protein
LGDJACJA_00039	gene			
LGDJACJA_00040	CDS	srkA	2.7.11.1	Stress response kinase A
LGDJACJA_00040	gene	srkA		
LGDJACJA_00041	CDS	epsL_1	2.-.-.-	putative sugar transferase EpsL
LGDJACJA_00041	gene	epsL_1		
LGDJACJA_00042	CDS	mshA	2.4.1.250	D-inositol 3-phosphate glycosyltransferase
LGDJACJA_00042	gene	mshA		
LGDJACJA_00043	CDS	kanE_1	2.4.1.301	Alpha-D-kanosaminyltransferase
LGDJACJA_00043	gene	kanE_1		
LGDJACJA_00044	CDS			hypothetical protein
LGDJACJA_00044	gene			
LGDJACJA_00045	CDS	apc4	6.4.1.8	Acetophenone carboxylase delta subunit
LGDJACJA_00045	gene	apc4		
LGDJACJA_00046	CDS	apc3	6.4.1.8	Acetophenone carboxylase gamma subunit
LGDJACJA_00046	gene	apc3		
LGDJACJA_00047	CDS			hypothetical protein
LGDJACJA_00047	gene			
LGDJACJA_00048	CDS			hypothetical protein
LGDJACJA_00048	gene			
LGDJACJA_00049	CDS			hypothetical protein
LGDJACJA_00049	gene			
LGDJACJA_00050	CDS	cshA	3.6.4.13	DEAD-box ATP-dependent RNA helicase CshA
LGDJACJA_00050	gene	cshA		
LGDJACJA_00051	CDS			hypothetical protein
LGDJACJA_00051	gene			
LGDJACJA_00052	CDS			hypothetical protein
LGDJACJA_00052	gene			
LGDJACJA_00053	CDS			hypothetical protein
LGDJACJA_00053	gene			
LGDJACJA_00054	CDS			hypothetical protein
LGDJACJA_00054	gene			
LGDJACJA_00055	CDS	pckA	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)
LGDJACJA_00055	gene	pckA		
LGDJACJA_00056	CDS	acuC_1		Acetoin utilization protein AcuC
LGDJACJA_00056	gene	acuC_1		
LGDJACJA_00057	CDS	crt_1	4.2.1.150	Short-chain-enoyl-CoA hydratase
LGDJACJA_00057	gene	crt_1		
LGDJACJA_00058	CDS	ephA	3.3.2.10	Epoxide hydrolase A
LGDJACJA_00058	gene	ephA		
LGDJACJA_00059	CDS	ddlB	6.3.2.4	D-alanine--D-alanine ligase B
LGDJACJA_00059	gene	ddlB		
LGDJACJA_00060	CDS	lysN_1	2.6.1.39	2-aminoadipate transaminase
LGDJACJA_00060	gene	lysN_1		
LGDJACJA_00061	CDS			hypothetical protein
LGDJACJA_00061	gene			
LGDJACJA_00062	CDS			putative transcriptional regulatory protein
LGDJACJA_00062	gene			
LGDJACJA_00063	CDS			hypothetical protein
LGDJACJA_00063	gene			
