locus_tag	ftype	gene	EC_number	product
IFHEOGJL_00001	CDS	dapL	2.6.1.83	LL-diaminopimelate aminotransferase
IFHEOGJL_00001	gene	dapL		
IFHEOGJL_00002	CDS			hypothetical protein
IFHEOGJL_00002	gene			
IFHEOGJL_00003	CDS	phrA	4.1.99.3	Deoxyribodipyrimidine photo-lyase
IFHEOGJL_00003	gene	phrA		
IFHEOGJL_00004	CDS			hypothetical protein
IFHEOGJL_00004	gene			
IFHEOGJL_00005	CDS			hypothetical protein
IFHEOGJL_00005	gene			
IFHEOGJL_00006	CDS			hypothetical protein
IFHEOGJL_00006	gene			
IFHEOGJL_00007	CDS	sglT_1		Sodium/glucose cotransporter
IFHEOGJL_00007	gene	sglT_1		
IFHEOGJL_00008	CDS			hypothetical protein
IFHEOGJL_00008	gene			
IFHEOGJL_00009	CDS			hypothetical protein
IFHEOGJL_00009	gene			
IFHEOGJL_00010	CDS			hypothetical protein
IFHEOGJL_00010	gene			
IFHEOGJL_00011	CDS			hypothetical protein
IFHEOGJL_00011	gene			
IFHEOGJL_00012	CDS			hypothetical protein
IFHEOGJL_00012	gene			
IFHEOGJL_00013	CDS		5.1.1.8	4-hydroxyproline 2-epimerase
IFHEOGJL_00013	gene			
IFHEOGJL_00014	CDS	iolG_1	1.1.1.18	Inositol 2-dehydrogenase
IFHEOGJL_00014	gene	iolG_1		
IFHEOGJL_00015	CDS	glpC_1		Anaerobic glycerol-3-phosphate dehydrogenase subunit C
IFHEOGJL_00015	gene	glpC_1		
IFHEOGJL_00016	CDS	nhaR		Transcriptional activator protein NhaR
IFHEOGJL_00016	gene	nhaR		
IFHEOGJL_00017	CDS			hypothetical protein
IFHEOGJL_00017	gene			
IFHEOGJL_00018	CDS	lagD	3.4.22.-	Lactococcin-G-processing and transport ATP-binding protein LagD
IFHEOGJL_00018	gene	lagD		
IFHEOGJL_00019	CDS			hypothetical protein
IFHEOGJL_00019	gene			
IFHEOGJL_00020	CDS			hypothetical protein
IFHEOGJL_00020	gene			
IFHEOGJL_00021	CDS	fucT	2.4.1.152	Alpha-(1,3)-fucosyltransferase FucT
IFHEOGJL_00021	gene	fucT		
IFHEOGJL_00022	CDS	bicA		Bicarbonate transporter BicA
IFHEOGJL_00022	gene	bicA		
IFHEOGJL_00023	CDS			hypothetical protein
IFHEOGJL_00023	gene			
IFHEOGJL_00024	CDS	aroF	2.5.1.54	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
IFHEOGJL_00024	gene	aroF		
IFHEOGJL_00025	CDS	pyrG	6.3.4.2	CTP synthase
IFHEOGJL_00025	gene	pyrG		
IFHEOGJL_00026	CDS			hypothetical protein
IFHEOGJL_00026	gene			
