locus_tag	ftype	gene	EC_number	product
PACEHLGO_00001	CDS			hypothetical protein
PACEHLGO_00001	gene			
PACEHLGO_00002	CDS			hypothetical protein
PACEHLGO_00002	gene			
PACEHLGO_00003	CDS			hypothetical protein
PACEHLGO_00003	gene			
PACEHLGO_00004	CDS	rpe	5.1.3.1	Ribulose-phosphate 3-epimerase
PACEHLGO_00004	gene	rpe		
PACEHLGO_00005	CDS		2.1.1.-	Putative methyltransferase
PACEHLGO_00005	gene			
PACEHLGO_00006	CDS	fmt	2.1.2.9	Methionyl-tRNA formyltransferase
PACEHLGO_00006	gene	fmt		
PACEHLGO_00007	CDS	zwf1	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase 1
PACEHLGO_00007	gene	zwf1		
PACEHLGO_00008	CDS		3.2.1.28	Trehalase
PACEHLGO_00008	gene			
PACEHLGO_00009	CDS	trmB	2.1.1.33	tRNA (guanine-N(7)-)-methyltransferase
PACEHLGO_00009	gene	trmB		
PACEHLGO_00010	CDS			hypothetical protein
PACEHLGO_00010	gene			
PACEHLGO_00011	CDS	proS	6.1.1.15	Proline--tRNA ligase
PACEHLGO_00011	gene	proS		
PACEHLGO_00012	CDS	mshD_1	2.3.1.189	Mycothiol acetyltransferase
PACEHLGO_00012	gene	mshD_1		
PACEHLGO_00013	CDS	ispG	1.17.7.3	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PACEHLGO_00013	gene	ispG		
PACEHLGO_00014	CDS	rip1	3.4.24.-	Zinc metalloprotease Rip1
PACEHLGO_00014	gene	rip1		
PACEHLGO_00015	CDS	dxr	1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PACEHLGO_00015	gene	dxr		
PACEHLGO_00016	CDS	rlmN	2.1.1.192	Dual-specificity RNA methyltransferase RlmN
PACEHLGO_00016	gene	rlmN		
PACEHLGO_00017	CDS	cdsA	2.7.7.41	Phosphatidate cytidylyltransferase
PACEHLGO_00017	gene	cdsA		
PACEHLGO_00018	CDS			hypothetical protein
PACEHLGO_00018	gene			
PACEHLGO_00019	CDS			hypothetical protein
PACEHLGO_00019	gene			
PACEHLGO_00020	CDS			hypothetical protein
PACEHLGO_00020	gene			
PACEHLGO_00021	CDS			hypothetical protein
PACEHLGO_00021	gene			
PACEHLGO_00022	CDS			hypothetical protein
PACEHLGO_00022	gene			
PACEHLGO_00023	CDS			hypothetical protein
PACEHLGO_00023	gene			
PACEHLGO_00024	CDS			hypothetical protein
PACEHLGO_00024	gene			
PACEHLGO_00025	CDS			hypothetical protein
PACEHLGO_00025	gene			
PACEHLGO_00026	CDS			hypothetical protein
PACEHLGO_00026	gene			
PACEHLGO_00027	CDS	rocA1	1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase 1
PACEHLGO_00027	gene	rocA1		
PACEHLGO_00028	CDS			hypothetical protein
PACEHLGO_00028	gene			
PACEHLGO_00029	tRNA			tRNA-Thr(cgt)
PACEHLGO_00029	gene			
PACEHLGO_00030	CDS			hypothetical protein
PACEHLGO_00030	gene			
PACEHLGO_00031	CDS			hypothetical protein
PACEHLGO_00031	gene			
PACEHLGO_00032	CDS			hypothetical protein
PACEHLGO_00032	gene			
PACEHLGO_00033	CDS			hypothetical protein
PACEHLGO_00033	gene			
PACEHLGO_00034	CDS	pipB2_1		Secreted effector protein PipB2
PACEHLGO_00034	gene	pipB2_1		
PACEHLGO_00035	tRNA			tRNA-Leu(cag)
PACEHLGO_00035	gene			
PACEHLGO_00036	CDS	mraZ_1		Transcriptional regulator MraZ
PACEHLGO_00036	gene	mraZ_1		
PACEHLGO_00037	CDS	ycnJ_1		Copper transport protein YcnJ
PACEHLGO_00037	gene	ycnJ_1		
PACEHLGO_00038	CDS			hypothetical protein
PACEHLGO_00038	gene			
PACEHLGO_00039	CDS	mraZ_2		Transcriptional regulator MraZ
PACEHLGO_00039	gene	mraZ_2		
PACEHLGO_00040	CDS	ycnJ_2		Copper transport protein YcnJ
PACEHLGO_00040	gene	ycnJ_2		
PACEHLGO_00041	CDS			hypothetical protein
PACEHLGO_00041	gene			
PACEHLGO_00042	CDS			hypothetical protein
PACEHLGO_00042	gene			
PACEHLGO_00043	CDS			hypothetical protein
PACEHLGO_00043	gene			
PACEHLGO_00044	CDS			hypothetical protein
PACEHLGO_00044	gene			
PACEHLGO_00045	CDS	recN		DNA repair protein RecN
PACEHLGO_00045	gene	recN		
PACEHLGO_00046	CDS	ppnK	2.7.1.23	NAD kinase
PACEHLGO_00046	gene	ppnK		
PACEHLGO_00047	CDS	livH		High-affinity branched-chain amino acid transport system permease protein LivH
PACEHLGO_00047	gene	livH		
PACEHLGO_00048	CDS			hypothetical protein
PACEHLGO_00048	gene			
PACEHLGO_00049	CDS			hypothetical protein
PACEHLGO_00049	gene			
PACEHLGO_00050	CDS			hypothetical protein
PACEHLGO_00050	gene			
PACEHLGO_00051	CDS	rsgA	3.6.1.-	Small ribosomal subunit biogenesis GTPase RsgA
PACEHLGO_00051	gene	rsgA		
PACEHLGO_00052	CDS	aroA	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase
PACEHLGO_00052	gene	aroA		
PACEHLGO_00053	CDS			hypothetical protein
PACEHLGO_00053	gene			
PACEHLGO_00054	CDS	pckG	4.1.1.32	Phosphoenolpyruvate carboxykinase [GTP]
PACEHLGO_00054	gene	pckG		
PACEHLGO_00055	CDS			hypothetical protein
PACEHLGO_00055	gene			
PACEHLGO_00056	CDS			hypothetical protein
PACEHLGO_00056	gene			
PACEHLGO_00057	CDS			hypothetical protein
PACEHLGO_00057	gene			
PACEHLGO_00058	CDS			hypothetical protein
PACEHLGO_00058	gene			
PACEHLGO_00059	CDS			hypothetical protein
PACEHLGO_00059	gene			
PACEHLGO_00060	CDS			hypothetical protein
PACEHLGO_00060	gene			
PACEHLGO_00061	CDS	dac_1	3.4.16.4	D-alanyl-D-alanine carboxypeptidase
PACEHLGO_00061	gene	dac_1		
PACEHLGO_00062	CDS			hypothetical protein
PACEHLGO_00062	gene			
