locus_tag	ftype	gene	EC_number	product
JJHLDMLH_00001	CDS			hypothetical protein
JJHLDMLH_00001	gene			
JJHLDMLH_00002	CDS	aroC	4.2.3.5	Chorismate synthase
JJHLDMLH_00002	gene	aroC		
JJHLDMLH_00003	CDS		3.1.1.99	6-deoxy-6-sulfogluconolactonase
JJHLDMLH_00003	gene			
JJHLDMLH_00004	CDS			hypothetical protein
JJHLDMLH_00004	gene			
JJHLDMLH_00005	CDS			hypothetical protein
JJHLDMLH_00005	gene			
JJHLDMLH_00006	CDS	amiC		Aliphatic amidase expression-regulating protein
JJHLDMLH_00006	gene	amiC		
JJHLDMLH_00007	CDS	ureG		Urease accessory protein UreG
JJHLDMLH_00007	gene	ureG		
JJHLDMLH_00008	CDS			hypothetical protein
JJHLDMLH_00008	gene			
JJHLDMLH_00009	CDS			hypothetical protein
JJHLDMLH_00009	gene			
JJHLDMLH_00010	CDS	prlC	3.4.24.70	Oligopeptidase A
JJHLDMLH_00010	gene	prlC		
JJHLDMLH_00011	CDS	ndhD1	1.6.5.-	NAD(P)H-quinone oxidoreductase chain 4 1
JJHLDMLH_00011	gene	ndhD1		
JJHLDMLH_00012	CDS			hypothetical protein
JJHLDMLH_00012	gene			
JJHLDMLH_00013	CDS			hypothetical protein
JJHLDMLH_00013	gene			
JJHLDMLH_00014	CDS			hypothetical protein
JJHLDMLH_00014	gene			
JJHLDMLH_00015	CDS	lspA	3.4.23.36	Lipoprotein signal peptidase
JJHLDMLH_00015	gene	lspA		
JJHLDMLH_00016	CDS	pbpG		Penicillin-binding protein 2D
JJHLDMLH_00016	gene	pbpG		
JJHLDMLH_00017	CDS			hypothetical protein
JJHLDMLH_00017	gene			
JJHLDMLH_00018	CDS			hypothetical protein
JJHLDMLH_00018	gene			
JJHLDMLH_00019	CDS	uvrC		UvrABC system protein C
JJHLDMLH_00019	gene	uvrC		
JJHLDMLH_00020	CDS	coaD	2.7.7.3	Phosphopantetheine adenylyltransferase
JJHLDMLH_00020	gene	coaD		
JJHLDMLH_00021	CDS			hypothetical protein
JJHLDMLH_00021	gene			
JJHLDMLH_00022	CDS			hypothetical protein
JJHLDMLH_00022	gene			
JJHLDMLH_00023	CDS			hypothetical protein
JJHLDMLH_00023	gene			
JJHLDMLH_00024	CDS			putative ABC transporter ATP-binding protein
JJHLDMLH_00024	gene			
JJHLDMLH_00025	CDS			hypothetical protein
JJHLDMLH_00025	gene			
JJHLDMLH_00026	CDS	exbB		Biopolymer transport protein ExbB
JJHLDMLH_00026	gene	exbB		
JJHLDMLH_00027	CDS			hypothetical protein
JJHLDMLH_00027	gene			
JJHLDMLH_00028	CDS			hypothetical protein
JJHLDMLH_00028	gene			
JJHLDMLH_00029	CDS	hhoB		Putative serine protease HhoB
JJHLDMLH_00029	gene	hhoB		
JJHLDMLH_00030	CDS			hypothetical protein
JJHLDMLH_00030	gene			
JJHLDMLH_00031	CDS			hypothetical protein
JJHLDMLH_00031	gene			
JJHLDMLH_00032	CDS			hypothetical protein
JJHLDMLH_00032	gene			
JJHLDMLH_00033	CDS			hypothetical protein
JJHLDMLH_00033	gene			
JJHLDMLH_00034	CDS	envZ	2.7.13.3	Osmolarity sensor protein EnvZ
JJHLDMLH_00034	gene	envZ		
JJHLDMLH_00035	CDS	ompR		Transcriptional regulatory protein OmpR
JJHLDMLH_00035	gene	ompR		
JJHLDMLH_00036	CDS	gloA	4.4.1.5	Lactoylglutathione lyase
JJHLDMLH_00036	gene	gloA		
JJHLDMLH_00037	CDS	clpB1		Chaperone protein ClpB 1
JJHLDMLH_00037	gene	clpB1		
JJHLDMLH_00038	CDS	secE		Protein translocase subunit SecE
JJHLDMLH_00038	gene	secE		
JJHLDMLH_00039	CDS	nusG		Transcription termination/antitermination protein NusG
JJHLDMLH_00039	gene	nusG		
JJHLDMLH_00040	CDS			hypothetical protein
JJHLDMLH_00040	gene			
JJHLDMLH_00041	CDS			hypothetical protein
JJHLDMLH_00041	gene			
JJHLDMLH_00042	CDS			hypothetical protein
JJHLDMLH_00042	gene			
JJHLDMLH_00043	CDS			hypothetical protein
JJHLDMLH_00043	gene			
JJHLDMLH_00044	CDS			Putative two-component membrane permease complex subunit SMU_747c
JJHLDMLH_00044	gene			
JJHLDMLH_00045	CDS			hypothetical protein
JJHLDMLH_00045	gene			
JJHLDMLH_00046	CDS			hypothetical protein
JJHLDMLH_00046	gene			
JJHLDMLH_00047	CDS			hypothetical protein
JJHLDMLH_00047	gene			
JJHLDMLH_00048	CDS			hypothetical protein
JJHLDMLH_00048	gene			
