locus_tag	ftype	gene	EC_number	product
LHMMNLJB_00001	CDS			hypothetical protein
LHMMNLJB_00001	gene			
LHMMNLJB_00002	CDS			hypothetical protein
LHMMNLJB_00002	gene			
LHMMNLJB_00003	CDS	mutY	3.2.2.-	Adenine DNA glycosylase
LHMMNLJB_00003	gene	mutY		
LHMMNLJB_00004	CDS			putative Fe(2+)-trafficking protein
LHMMNLJB_00004	gene			
LHMMNLJB_00005	CDS	lrp		Leucine-responsive regulatory protein
LHMMNLJB_00005	gene	lrp		
LHMMNLJB_00006	CDS			hypothetical protein
LHMMNLJB_00006	gene			
LHMMNLJB_00007	CDS	yihG	2.3.-.-	putative acyltransferase YihG
LHMMNLJB_00007	gene	yihG		
LHMMNLJB_00008	CDS	iorA	1.3.99.16	Isoquinoline 1-oxidoreductase subunit alpha
LHMMNLJB_00008	gene	iorA		
LHMMNLJB_00009	CDS	iorB	1.3.99.16	Isoquinoline 1-oxidoreductase subunit beta
LHMMNLJB_00009	gene	iorB		
LHMMNLJB_00010	CDS	ppiC	5.2.1.8	Peptidyl-prolyl cis-trans isomerase C
LHMMNLJB_00010	gene	ppiC		
LHMMNLJB_00011	CDS	prmA	2.1.1.-	Ribosomal protein L11 methyltransferase
LHMMNLJB_00011	gene	prmA		
LHMMNLJB_00012	CDS			hypothetical protein
LHMMNLJB_00012	gene			
LHMMNLJB_00013	CDS	dus	1.3.1.-	putative tRNA-dihydrouridine synthase
LHMMNLJB_00013	gene	dus		
LHMMNLJB_00014	CDS	fis		DNA-binding protein Fis
LHMMNLJB_00014	gene	fis		
LHMMNLJB_00015	CDS	purH		Bifunctional purine biosynthesis protein PurH
LHMMNLJB_00015	gene	purH		
LHMMNLJB_00016	CDS	purD	6.3.4.13	Phosphoribosylamine--glycine ligase
LHMMNLJB_00016	gene	purD		
LHMMNLJB_00017	CDS	moeA	2.10.1.1	Molybdopterin molybdenumtransferase
LHMMNLJB_00017	gene	moeA		
LHMMNLJB_00018	CDS			hypothetical protein
LHMMNLJB_00018	gene			
LHMMNLJB_00019	CDS	catD	1.-.-.-	Putative oxidoreductase CatD
LHMMNLJB_00019	gene	catD		
LHMMNLJB_00020	CDS	icd2	1.1.1.42	Isocitrate dehydrogenase [NADP] 2
LHMMNLJB_00020	gene	icd2		
LHMMNLJB_00021	CDS			hypothetical protein
LHMMNLJB_00021	gene			
LHMMNLJB_00022	CDS			hypothetical protein
LHMMNLJB_00022	gene			
LHMMNLJB_00023	CDS	betC_1	3.1.6.6	Choline-sulfatase
LHMMNLJB_00023	gene	betC_1		
LHMMNLJB_00024	CDS			hypothetical protein
LHMMNLJB_00024	gene			
LHMMNLJB_00025	CDS			hypothetical protein
LHMMNLJB_00025	gene			
LHMMNLJB_00026	CDS			hypothetical protein
LHMMNLJB_00026	gene			
LHMMNLJB_00027	CDS	pstS		Phosphate-binding protein PstS
LHMMNLJB_00027	gene	pstS		
LHMMNLJB_00028	CDS			hypothetical protein
LHMMNLJB_00028	gene			
LHMMNLJB_00029	CDS			hypothetical protein
LHMMNLJB_00029	gene			
LHMMNLJB_00030	CDS	phoR	2.7.13.3	Phosphate regulon sensor protein PhoR
LHMMNLJB_00030	gene	phoR		
LHMMNLJB_00031	CDS	phoB		Phosphate regulon transcriptional regulatory protein PhoB
LHMMNLJB_00031	gene	phoB		
LHMMNLJB_00032	CDS	tsaB		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
LHMMNLJB_00032	gene	tsaB		
LHMMNLJB_00033	CDS			hypothetical protein
LHMMNLJB_00033	gene			
LHMMNLJB_00034	CDS			Bacteriohemerythrin
LHMMNLJB_00034	gene			
LHMMNLJB_00035	CDS	pntB	1.6.1.2	NAD(P) transhydrogenase subunit beta
LHMMNLJB_00035	gene	pntB		
LHMMNLJB_00036	CDS	pntA	1.6.1.2	NAD(P) transhydrogenase subunit alpha
LHMMNLJB_00036	gene	pntA		
LHMMNLJB_00037	CDS			hypothetical protein
LHMMNLJB_00037	gene			
LHMMNLJB_00038	CDS			hypothetical protein
LHMMNLJB_00038	gene			
LHMMNLJB_00039	CDS			putative cation efflux system protein
LHMMNLJB_00039	gene			
LHMMNLJB_00040	CDS	mscS		Small-conductance mechanosensitive channel
LHMMNLJB_00040	gene	mscS		
LHMMNLJB_00041	CDS			hypothetical protein
LHMMNLJB_00041	gene			
LHMMNLJB_00042	CDS	gluP_1	3.4.21.105	Rhomboid protease GluP
LHMMNLJB_00042	gene	gluP_1		
LHMMNLJB_00043	CDS			hypothetical protein
LHMMNLJB_00043	gene			
LHMMNLJB_00044	CDS			Ferredoxin 1
LHMMNLJB_00044	gene			
LHMMNLJB_00045	CDS			hypothetical protein
LHMMNLJB_00045	gene			
LHMMNLJB_00046	CDS			hypothetical protein
LHMMNLJB_00046	gene			
LHMMNLJB_00047	CDS			hypothetical protein
LHMMNLJB_00047	gene			
LHMMNLJB_00048	CDS	fabG_1	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
LHMMNLJB_00048	gene	fabG_1		
LHMMNLJB_00049	CDS	mlhB	3.1.1.83	Monoterpene epsilon-lactone hydrolase
LHMMNLJB_00049	gene	mlhB		
LHMMNLJB_00050	CDS	gluP_2	3.4.21.105	Rhomboid protease GluP
LHMMNLJB_00050	gene	gluP_2		
LHMMNLJB_00051	CDS	leuE		Leucine efflux protein
LHMMNLJB_00051	gene	leuE		
LHMMNLJB_00052	CDS			hypothetical protein
LHMMNLJB_00052	gene			
LHMMNLJB_00053	CDS	rsmD	2.1.1.171	Ribosomal RNA small subunit methyltransferase D
LHMMNLJB_00053	gene	rsmD		
LHMMNLJB_00054	CDS	coaD	2.7.7.3	Phosphopantetheine adenylyltransferase
LHMMNLJB_00054	gene	coaD		
LHMMNLJB_00055	CDS	mutM	3.2.2.23	Formamidopyrimidine-DNA glycosylase
LHMMNLJB_00055	gene	mutM		
LHMMNLJB_00056	CDS	rpmG		50S ribosomal protein L33
LHMMNLJB_00056	gene	rpmG		
LHMMNLJB_00057	CDS	rpmB		50S ribosomal protein L28
LHMMNLJB_00057	gene	rpmB		
LHMMNLJB_00058	CDS			hypothetical protein
LHMMNLJB_00058	gene			
LHMMNLJB_00059	CDS	efp		Elongation factor P
LHMMNLJB_00059	gene	efp		
LHMMNLJB_00060	CDS	msrC	1.8.4.14	Free methionine-R-sulfoxide reductase
LHMMNLJB_00060	gene	msrC		
LHMMNLJB_00061	CDS	epmA	6.3.1.-	Elongation factor P--(R)-beta-lysine ligase
LHMMNLJB_00061	gene	epmA		
LHMMNLJB_00062	CDS	psd	4.1.1.65	Phosphatidylserine decarboxylase proenzyme
LHMMNLJB_00062	gene	psd		
LHMMNLJB_00063	CDS			hypothetical protein
LHMMNLJB_00063	gene			
LHMMNLJB_00064	CDS	mdtE		Multidrug resistance protein MdtE
LHMMNLJB_00064	gene	mdtE		
LHMMNLJB_00065	CDS			hypothetical protein
LHMMNLJB_00065	gene			
LHMMNLJB_00066	CDS			hypothetical protein
LHMMNLJB_00066	gene			
LHMMNLJB_00067	CDS			hypothetical protein
LHMMNLJB_00067	gene			
LHMMNLJB_00068	CDS			hypothetical protein
LHMMNLJB_00068	gene			
LHMMNLJB_00069	CDS			hypothetical protein
LHMMNLJB_00069	gene			
LHMMNLJB_00070	CDS	clpP	3.4.21.92	ATP-dependent Clp protease proteolytic subunit
LHMMNLJB_00070	gene	clpP		
LHMMNLJB_00071	CDS	clpX		ATP-dependent Clp protease ATP-binding subunit ClpX
LHMMNLJB_00071	gene	clpX		
LHMMNLJB_00072	CDS			hypothetical protein
LHMMNLJB_00072	gene			
LHMMNLJB_00073	CDS			hypothetical protein
LHMMNLJB_00073	gene			
LHMMNLJB_00074	CDS		1.-.-.-	putative FAD-linked oxidoreductase
LHMMNLJB_00074	gene			
LHMMNLJB_00075	CDS	livH		High-affinity branched-chain amino acid transport system permease protein LivH
LHMMNLJB_00075	gene	livH		
LHMMNLJB_00076	CDS			putative HTH-type transcriptional regulator
LHMMNLJB_00076	gene			
LHMMNLJB_00077	CDS			hypothetical protein
LHMMNLJB_00077	gene			
LHMMNLJB_00078	CDS			hypothetical protein
LHMMNLJB_00078	gene			
LHMMNLJB_00079	CDS			hypothetical protein
LHMMNLJB_00079	gene			
LHMMNLJB_00080	CDS			hypothetical protein
LHMMNLJB_00080	gene			
LHMMNLJB_00081	CDS			hypothetical protein
LHMMNLJB_00081	gene			
LHMMNLJB_00082	CDS			hypothetical protein
LHMMNLJB_00082	gene			
LHMMNLJB_00083	CDS	prc	3.4.21.102	Tail-specific protease
LHMMNLJB_00083	gene	prc		
LHMMNLJB_00084	CDS			hypothetical protein
LHMMNLJB_00084	gene			
LHMMNLJB_00085	CDS	yidC		Membrane protein insertase YidC
LHMMNLJB_00085	gene	yidC		
LHMMNLJB_00086	CDS	rnpA	3.1.26.5	Ribonuclease P protein component
LHMMNLJB_00086	gene	rnpA		
LHMMNLJB_00087	CDS			hypothetical protein
LHMMNLJB_00087	gene			
LHMMNLJB_00088	CDS	gcvH_1		Glycine cleavage system H protein
LHMMNLJB_00088	gene	gcvH_1		
LHMMNLJB_00089	CDS	hlyU		Transcriptional activator HlyU
LHMMNLJB_00089	gene	hlyU		
LHMMNLJB_00090	CDS	csd	2.8.1.7	putative cysteine desulfurase
LHMMNLJB_00090	gene	csd		
LHMMNLJB_00091	CDS		6.2.1.3	Long-chain-fatty-acid--CoA ligase FadD15
LHMMNLJB_00091	gene			
LHMMNLJB_00092	CDS	dmdA	2.1.1.269	Dimethylsulfonioproprionate demethylase DmdA
LHMMNLJB_00092	gene	dmdA		
LHMMNLJB_00093	CDS	bepA_1	3.4.-.-	Beta-barrel assembly-enhancing protease
LHMMNLJB_00093	gene	bepA_1		
LHMMNLJB_00094	CDS	fptA		Fe(3+)-pyochelin receptor
LHMMNLJB_00094	gene	fptA		
LHMMNLJB_00095	CDS			hypothetical protein
LHMMNLJB_00095	gene			
LHMMNLJB_00096	CDS			hypothetical protein
LHMMNLJB_00096	gene			
LHMMNLJB_00097	CDS			hypothetical protein
LHMMNLJB_00097	gene			
LHMMNLJB_00098	CDS	nfdA_1	3.5.1.91	N-substituted formamide deformylase
LHMMNLJB_00098	gene	nfdA_1		
LHMMNLJB_00099	CDS	ribF		Riboflavin biosynthesis protein RibF
LHMMNLJB_00099	gene	ribF		
LHMMNLJB_00100	CDS	murJ		putative lipid II flippase MurJ
LHMMNLJB_00100	gene	murJ		
LHMMNLJB_00101	CDS			hypothetical protein
LHMMNLJB_00101	gene			
LHMMNLJB_00102	CDS	dprA		DNA processing protein DprA
LHMMNLJB_00102	gene	dprA		
LHMMNLJB_00103	CDS	smg		Protein Smg
LHMMNLJB_00103	gene	smg		
LHMMNLJB_00104	CDS			hypothetical protein
LHMMNLJB_00104	gene			
LHMMNLJB_00105	CDS			hypothetical protein
LHMMNLJB_00105	gene			
LHMMNLJB_00106	CDS			hypothetical protein
LHMMNLJB_00106	gene			
LHMMNLJB_00107	CDS	rpoH		RNA polymerase sigma factor RpoH
LHMMNLJB_00107	gene	rpoH		
LHMMNLJB_00108	CDS	ftsX		Cell division protein FtsX
LHMMNLJB_00108	gene	ftsX		
LHMMNLJB_00109	CDS			hypothetical protein
LHMMNLJB_00109	gene			
LHMMNLJB_00110	CDS			hypothetical protein
LHMMNLJB_00110	gene			
LHMMNLJB_00111	CDS	glnD		Bifunctional uridylyltransferase/uridylyl-removing enzyme
LHMMNLJB_00111	gene	glnD		
LHMMNLJB_00112	CDS	map	3.4.11.18	Methionine aminopeptidase
LHMMNLJB_00112	gene	map		
LHMMNLJB_00113	CDS	hutI_1	3.5.2.7	Imidazolonepropionase
LHMMNLJB_00113	gene	hutI_1		
LHMMNLJB_00114	CDS			hypothetical protein
LHMMNLJB_00114	gene			
LHMMNLJB_00115	CDS			hypothetical protein
LHMMNLJB_00115	gene			
LHMMNLJB_00116	CDS	mtnB_1	4.2.1.109	Methylthioribulose-1-phosphate dehydratase
LHMMNLJB_00116	gene	mtnB_1		
LHMMNLJB_00117	CDS			hypothetical protein
LHMMNLJB_00117	gene			
LHMMNLJB_00118	CDS			hypothetical protein
