locus_tag	ftype	gene	EC_number	product
CILDJAKM_00001	CDS			hypothetical protein
CILDJAKM_00001	gene			
CILDJAKM_00002	CDS			hypothetical protein
CILDJAKM_00002	gene			
CILDJAKM_00003	CDS			hypothetical protein
CILDJAKM_00003	gene			
CILDJAKM_00004	CDS			hypothetical protein
CILDJAKM_00004	gene			
CILDJAKM_00005	CDS			hypothetical protein
CILDJAKM_00005	gene			
CILDJAKM_00006	CDS			hypothetical protein
CILDJAKM_00006	gene			
CILDJAKM_00007	CDS	glpE_1	2.8.1.1	Thiosulfate sulfurtransferase GlpE
CILDJAKM_00007	gene	glpE_1		
CILDJAKM_00008	CDS			hypothetical protein
CILDJAKM_00008	gene			
CILDJAKM_00009	CDS			Cyclic AMP receptor protein
CILDJAKM_00009	gene			
CILDJAKM_00010	CDS	cyaB	4.6.1.1	Adenylate cyclase 2
CILDJAKM_00010	gene	cyaB		
CILDJAKM_00011	CDS	cheY_1		Chemotaxis protein CheY 
CILDJAKM_00011	gene	cheY_1		
CILDJAKM_00012	CDS	barA_1	2.7.13.3	Signal transduction histidine-protein kinase BarA
CILDJAKM_00012	gene	barA_1		
CILDJAKM_00013	CDS	rsbX	3.1.3.3	Phosphoserine phosphatase RsbX
CILDJAKM_00013	gene	rsbX		
CILDJAKM_00014	CDS	rsbT	2.7.11.1	Serine/threonine-protein kinase RsbT
CILDJAKM_00014	gene	rsbT		
CILDJAKM_00015	CDS	glnD_1		Bifunctional uridylyltransferase/uridylyl-removing enzyme
CILDJAKM_00015	gene	glnD_1		
CILDJAKM_00016	CDS			hypothetical protein
CILDJAKM_00016	gene			
CILDJAKM_00017	CDS	alsT		Amino-acid carrier protein AlsT
CILDJAKM_00017	gene	alsT		
CILDJAKM_00018	CDS			hypothetical protein
CILDJAKM_00018	gene			
CILDJAKM_00019	CDS			hypothetical protein
CILDJAKM_00019	gene			
CILDJAKM_00020	CDS			hypothetical protein
CILDJAKM_00020	gene			
CILDJAKM_00021	CDS			hypothetical protein
CILDJAKM_00021	gene			
CILDJAKM_00022	CDS	glxR_1		CRP-like cAMP-activated global transcriptional regulator
CILDJAKM_00022	gene	glxR_1		
CILDJAKM_00023	CDS			hypothetical protein
CILDJAKM_00023	gene			
CILDJAKM_00024	CDS			hypothetical protein
CILDJAKM_00024	gene			
CILDJAKM_00025	CDS			hypothetical protein
CILDJAKM_00025	gene			
CILDJAKM_00026	CDS	padG	1.2.1.58	NADH-dependent phenylglyoxylate dehydrogenase subunit alpha
CILDJAKM_00026	gene	padG		
CILDJAKM_00027	CDS		1.2.7.10	Oxalate oxidoreductase subunit beta
CILDJAKM_00027	gene			
CILDJAKM_00028	CDS	padE	1.2.1.58	NADH-dependent phenylglyoxylate dehydrogenase subunit gamma
CILDJAKM_00028	gene	padE		
CILDJAKM_00029	CDS			hypothetical protein
CILDJAKM_00029	gene			
CILDJAKM_00030	CDS	ndk	2.7.4.6	Nucleoside diphosphate kinase
CILDJAKM_00030	gene	ndk		
CILDJAKM_00031	CDS			hypothetical protein
CILDJAKM_00031	gene			
CILDJAKM_00032	CDS			hypothetical protein
CILDJAKM_00032	gene			
CILDJAKM_00033	CDS	queD_1	4.1.2.50	6-carboxy-5,6,7,8-tetrahydropterin synthase
CILDJAKM_00033	gene	queD_1		
CILDJAKM_00034	CDS	folE	3.5.4.16	GTP cyclohydrolase 1
CILDJAKM_00034	gene	folE		
CILDJAKM_00035	CDS			PhoH-like protein
CILDJAKM_00035	gene			
CILDJAKM_00036	CDS	ybeY	3.1.-.-	Endoribonuclease YbeY
CILDJAKM_00036	gene	ybeY		
CILDJAKM_00037	CDS		2.7.7.53	AP-4-A phosphorylase
CILDJAKM_00037	gene			
CILDJAKM_00038	CDS	mutS		DNA mismatch repair protein MutS
CILDJAKM_00038	gene	mutS		
CILDJAKM_00039	CDS	galE1	5.1.3.2	UDP-glucose 4-epimerase
CILDJAKM_00039	gene	galE1		
CILDJAKM_00040	CDS			hypothetical protein
CILDJAKM_00040	gene			
CILDJAKM_00041	CDS	resE_1	2.7.13.3	Sensor histidine kinase ResE
CILDJAKM_00041	gene	resE_1		
CILDJAKM_00042	CDS			hypothetical protein
CILDJAKM_00042	gene			
