locus_tag	ftype	gene	EC_number	product
KBBMOBKP_00001	CDS			hypothetical protein
KBBMOBKP_00001	gene			
KBBMOBKP_00002	CDS	typA		GTP-binding protein TypA/BipA
KBBMOBKP_00002	gene	typA		
KBBMOBKP_00003	CDS			hypothetical protein
KBBMOBKP_00003	gene			
KBBMOBKP_00004	CDS			hypothetical protein
KBBMOBKP_00004	gene			
KBBMOBKP_00005	CDS	purC_1	6.3.2.6	Phosphoribosylaminoimidazole-succinocarboxamide synthase
KBBMOBKP_00005	gene	purC_1		
KBBMOBKP_00006	CDS	nrdH		Glutaredoxin-like protein NrdH
KBBMOBKP_00006	gene	nrdH		
KBBMOBKP_00007	CDS	srkA	2.7.11.1	Stress response kinase A
KBBMOBKP_00007	gene	srkA		
KBBMOBKP_00008	CDS			hypothetical protein
KBBMOBKP_00008	gene			
KBBMOBKP_00009	CDS	ald1	1.2.1.48	Long-chain-aldehyde dehydrogenase
KBBMOBKP_00009	gene	ald1		
KBBMOBKP_00010	CDS	tetD		Transposon Tn10 TetD protein
KBBMOBKP_00010	gene	tetD		
KBBMOBKP_00011	CDS	ggt	2.3.2.2	Gamma-glutamyltranspeptidase
KBBMOBKP_00011	gene	ggt		
KBBMOBKP_00012	CDS	fdx		Ferredoxin
KBBMOBKP_00012	gene	fdx		
KBBMOBKP_00013	CDS	coaD	2.7.7.3	Phosphopantetheine adenylyltransferase
KBBMOBKP_00013	gene	coaD		
KBBMOBKP_00014	CDS	rsmD	2.1.1.171	Ribosomal RNA small subunit methyltransferase D
KBBMOBKP_00014	gene	rsmD		
KBBMOBKP_00015	CDS		3.4.24.-	putative zinc protease
KBBMOBKP_00015	gene			
KBBMOBKP_00016	CDS		3.4.24.-	putative zinc protease
KBBMOBKP_00016	gene			
KBBMOBKP_00017	CDS	ftsY		Signal recognition particle receptor FtsY
KBBMOBKP_00017	gene	ftsY		
KBBMOBKP_00018	CDS	ftsE		Cell division ATP-binding protein FtsE
KBBMOBKP_00018	gene	ftsE		
KBBMOBKP_00019	CDS	ftsX		Cell division protein FtsX
KBBMOBKP_00019	gene	ftsX		
KBBMOBKP_00020	CDS	rpoH		RNA polymerase sigma factor RpoH
KBBMOBKP_00020	gene	rpoH		
KBBMOBKP_00021	CDS			hypothetical protein
KBBMOBKP_00021	gene			
KBBMOBKP_00022	CDS			hypothetical protein
KBBMOBKP_00022	gene			
KBBMOBKP_00023	CDS	copA_1	3.6.3.54	putative copper-importing P-type ATPase A
KBBMOBKP_00023	gene	copA_1		
KBBMOBKP_00024	CDS			hypothetical protein
KBBMOBKP_00024	gene			
KBBMOBKP_00025	CDS			hypothetical protein
KBBMOBKP_00025	gene			
KBBMOBKP_00026	CDS	ccoP		Cbb3-type cytochrome c oxidase subunit CcoP
KBBMOBKP_00026	gene	ccoP		
KBBMOBKP_00027	CDS			hypothetical protein
KBBMOBKP_00027	gene			
KBBMOBKP_00028	CDS			hypothetical protein
KBBMOBKP_00028	gene			
KBBMOBKP_00029	CDS	ccoN1_1	1.9.3.1	Cbb3-type cytochrome c oxidase subunit CcoN1
KBBMOBKP_00029	gene	ccoN1_1		
KBBMOBKP_00030	CDS	ctaB_1	2.5.1.-	Protoheme IX farnesyltransferase
