locus_tag	ftype	gene	EC_number	product
IHKBHOGD_00001	CDS			hypothetical protein
IHKBHOGD_00001	gene			
IHKBHOGD_00002	CDS	trxA		Thioredoxin
IHKBHOGD_00002	gene	trxA		
IHKBHOGD_00003	CDS			hypothetical protein
IHKBHOGD_00003	gene			
IHKBHOGD_00004	CDS			hypothetical protein
IHKBHOGD_00004	gene			
IHKBHOGD_00005	CDS	pccB_1	6.4.1.3	Propionyl-CoA carboxylase beta chain
IHKBHOGD_00005	gene	pccB_1		
IHKBHOGD_00006	CDS	yfiR		putative HTH-type transcriptional regulator YfiR
IHKBHOGD_00006	gene	yfiR		
IHKBHOGD_00007	CDS			hypothetical protein
IHKBHOGD_00007	gene			
IHKBHOGD_00008	CDS			hypothetical protein
IHKBHOGD_00008	gene			
IHKBHOGD_00009	CDS	mrpC		Na(+)/H(+) antiporter subunit C
IHKBHOGD_00009	gene	mrpC		
IHKBHOGD_00010	CDS	mrpB		Na(+)/H(+) antiporter subunit B
IHKBHOGD_00010	gene	mrpB		
IHKBHOGD_00011	CDS	mrpA		Na(+)/H(+) antiporter subunit A
IHKBHOGD_00011	gene	mrpA		
IHKBHOGD_00012	CDS			hypothetical protein
IHKBHOGD_00012	gene			
IHKBHOGD_00013	CDS			hypothetical protein
IHKBHOGD_00013	gene			
IHKBHOGD_00014	CDS	caeA	3.1.1.-	Carboxylesterase A
IHKBHOGD_00014	gene	caeA		
IHKBHOGD_00015	CDS			hypothetical protein
IHKBHOGD_00015	gene			
IHKBHOGD_00016	CDS			hypothetical protein
IHKBHOGD_00016	gene			
IHKBHOGD_00017	CDS			hypothetical protein
IHKBHOGD_00017	gene			
IHKBHOGD_00018	CDS	gpsA2	1.1.1.94	putative glycerol-3-phosphate dehydrogenase 2 [NAD(P)+]
IHKBHOGD_00018	gene	gpsA2		
IHKBHOGD_00019	CDS	folP	2.5.1.15	Dihydropteroate synthase
IHKBHOGD_00019	gene	folP		
IHKBHOGD_00020	CDS			hypothetical protein
IHKBHOGD_00020	gene			
IHKBHOGD_00021	CDS	pstC2_1		Phosphate transport system permease protein PstC 2
